question_id,dataset,tipo_questao,modelo_curador,texto_questao,nivel_dificuldade_equipe,justificativa_dificuldade,area_especialidade_equipe,legislacao_base,confianca,saida_bruta,json_parse_ok,timestamp_execucao
41_direito_administrativo_peca_praticoprofissional,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"PEÇA PRÁTICO-PROFISSIONAL

O Município Alfa publicou edital de licitação, visando à aquisição de centenas de cadeiras padronizadas para as repartições públicas municipais, mediante a divulgação e a manutenção do inteiro teor do ato convocatório e de seus anexos no Portal Nacional de Contratações Públicas (PNCP), além da publicação de extrato do edital no Diário Oficial do ente federativo e em jornal diário de grande circulação. Figura como presidente da Comissão de Licitação o agente público João da Silva, responsável por todos os atos, bem como, pelas regras editalícias, segundo as normas de convocação.
Ao tomarem ciência da publicação do edital da licitação, os sócios da sociedade empresária XYZ passaram a analisá-lo detalhadamente, visando à tomada de uma decisão informada sobre a participação ou não no referido processo licitatório.
Em síntese, o Município Alfa publicou o edital de licitação, com o objetivo de adquirir 500 (quinhentas) cadeiras padronizadas, para entrega futura, adotando-se, para tanto, o pregão como modalidade de licitação, sob o critério de julgamento do menor preço. Apurou-se ainda que, segundo o edital, as propostas e os lances deveriam ser apresentados no prazo de 5 (cinco) dias úteis, contados a partir da data de divulgação do edital de licitação. Além disso, os participantes, no momento da apresentação das propostas e dos lances, deveriam comprovar, como requisito de pré-habilitação, o recolhimento de quantia correspondente a 5% (cinco por cento) do valor estimado para a contratação, a título de garantia da proposta.
O edital previu também margem de preferência de 10% (dez por cento) para sociedades empresárias que tenham instituído programa de integridade, conforme orientações dos órgãos de controle. Na fase de habilitação, como forma de demonstrar a aptidão econômica do licitante para cumprir as obrigações decorrentes do futuro contrato, o edital previu a necessidade de que os licitantes tivessem, no ano anterior, faturado, ao menos, R$ 5.000.000 (cinco milhões de reais), com índice de rentabilidade mínima de 10% (dez por cento). Por fim, na fase de julgamento, em caso de empate entre as propostas oferecidas pelos licitantes, caberia à Administração Pública, a partir de um juízo de oportunidade e de conveniência, selecionar o vencedor.
Nesse contexto, a sociedade empresária XYZ impugnou o edital publicado na seara administrativa, com observância ao prazo legal, questionando os seguintes tópicos: i) prazo mínimo para apresentação de propostas e lances; ii) garantia de proposta, como requisito de pré-habilitação; iii) margem de preferência estabelecida; iv) forma de demonstração da aptidão econômica do licitante para cumprir as obrigações decorrentes do futuro contrato; e v) critérios de desempate. Contudo, o agente público João da Silva, autoridade administrativa competente da Administração Pública, manteve o edital na íntegra, em decisão definitiva na esfera administrativa.
Dessa forma, os sócios da sociedade empresária XYZ, dois dias depois de terem acesso à referida decisão administrativa, procuraram você para, na qualidade de advogado(a), adotar as providências cabíveis junto ao Poder Judiciário, sendo certo que há urgência na obtenção de um provimento jurisdicional, ante o receio de que a licitação prossiga, sem a participação da sociedade empresária XYZ. Considere que todas as provas necessárias já estão pré-constituídas, sendo desnecessária dilação probatória.
Diante das circunstâncias narradas, redija a peça cabível, que traga o procedimento mais célere para a defesa dos interesses da sociedade empresária XYZ, mediante a apresentação de todos os fundamentos jurídicos pertinentes, ciente de que as provas documentais já existentes bastam para demonstrar os fatos acima. (Valor: 5,00)
Obs.: a peça deve abranger todos os fundamentos de Direito que possam ser utilizados para dar respaldo à pretensão. A simples menção ou transcrição do dispositivo legal não confere pontuação.",3,"A questão exige confronto entre normas de licitação, como o pregão e a exigência de garantia, margem de preferência e critérios de desempate, que demandam interpretação comparativa com o Código de Licitação.",Direito Administrativo,Código de Licitação e Contratos - Lei nº 8.666/1993,,"{""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""A questão exige confronto entre normas de licitação, como o pregão e a exigência de garantia, margem de preferência e critérios de desempate, que demandam interpretação comparativa com o Código de Licitação."",
  ""legislacao_base"": ""Código de Licitação e Contratos - Lei nº 8.666/1993"",
  ""confiança"": ""alta""
}",True,2026-03-22T12:09:06.550019-03:00
41_direito_administrativo_questao_1,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Esglobênia, servidora pública federal estável, acreditava ter preenchido os respectivos requisitos do Regime Próprio de Previdência no cargo que ocupava, razão pela qual pleiteou e obteve, junto ao órgão de origem, a aposentadoria voluntária.
Ato contínuo, o processo foi encaminhado ao Tribunal de Contas da União, o qual verificou algumas inconsistências no deferimento do pedido, de modo que está tendente a negar o registro da aposentadoria, sendo certo que o processo chegou na Corte de Contas há apenas um ano.
Diante dessa situação hipotética, responda como advogado(a), fundamentadamente, aos questionamentos a seguir

1. O ato aposentadoria de Esglobênia estava perfeito, ou seja, completou o seu ciclo de formação, antes do pronunciamento da Corte de Contas? Justifique.

2. Para negar o registro da aposentadoria de Esglobênia, o Tribunal de Contas precisa observar a ampla defesa e o contraditório? Justifique.",2,"A questão envolve interpretação direta da legislação sobre aposentadoria voluntária e validade do ato administrativo, sem necessidade de análise normativa complexa.",Direito Administrativo,Regime Próprio de Previdência dos Servidores Públicos Federais - RPPS,alta,"{""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A questão envolve interpretação direta da legislação sobre aposentadoria voluntária e validade do ato administrativo, sem necessidade de análise normativa complexa."",
  ""legislacao_base"": ""Regime Próprio de Previdência dos Servidores Públicos Federais - RPPS"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:09:28.863961-03:00
41_direito_administrativo_questao_2,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

A sociedade de economia mista federal XYZ entrou em contato com a sociedade empresária ABC, de notória especialização, que fornece serviço técnico especializado de publicidade e divulgação, visando à celebração de um contrato administrativo. Durante as tratativas, um dos representantes da estatal afirmou que, em razão da expertise da entidade ABC, seria possível a contratação direta, afastando-se a necessidade de licitação. Nesse contexto, o contrato administrativo foi celebrado sem o prévio processo licitatório. Passados alguns meses, o diretor-executivo da sociedade empresária ABC foi informado de que o órgão de controle externo da estatal estava analisando a regularidade da contratação, em razão de indícios de superfaturamento. Dessa forma, ele solicitou à sua equipe jurídica os devidos esclarecimentos sobre a temática.
Diante dessa situação hipotética, com base na legislação que dispõe sobre o estatuto jurídico da empresa pública e da sociedade de economia mista e de suas subsidiárias, responda aos itens a seguir

1. A contratação direta da sociedade empresária ABC pela sociedade de economia mista federal XYZ, no caso em tela, cumpriu as exigências legais? Justifique.

2. Caso o órgão de controle externo da estatal verifique superfaturamento na contratação, quem responderá pelo dano causado? Justifique.",3,"O enunciado exige confronto entre a possibilidade de contratação direta e a obrigação de licitação, conforme previsto no Código de Licitações e Contratos (CLC). Há necessidade de verificar a condição de 'notória especialização' e a ausência de licitação.",Direito Administrativo,Lei nº 8.666/1993 - Código de Licitações e Contratos (CLC),,"{""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""O enunciado exige confronto entre a possibilidade de contratação direta e a obrigação de licitação, conforme previsto no Código de Licitações e Contratos (CLC). Há necessidade de verificar a condição de 'notória especialização' e a ausência de licitação."",
  ""legislacao_base"": ""Lei nº 8.666/1993 - Código de Licitações e Contratos (CLC)"",
  ""confiança"": ""alta""
}",True,2026-03-22T12:09:45.621676-03:00
41_direito_administrativo_questao_3,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Determinada organização da sociedade civil tem, entre as suas principais atribuições, o desenvolvimento de projetos voltados para a alimentação saudável de crianças em idade escolar.
Após aprofundado estudo, a entidade elaborou uma proposta que acredita ser de grande interesse para o Poder Público. Assim, deseja apresentá-la, a fim de que a Administração avalie a possibilidade de realizar um chamamento público para estabelecer uma parceria com fulcro na Lei nº 13.019/2014.
Em razão disso, os representantes da mencionada organização da sociedade civil buscaram sua assessoria jurídica para dirimir as dúvidas a seguir

1. Qual é o instrumento previsto na norma em comento que viabiliza a apresentação da proposta pretendida pela mencionada organização da sociedade civil? Justifique.

2. A organização da sociedade civil ficaria impedida de participar de eventual chamamento público que venha a ser realizado a partir de sua proposta? Justifique.",2,"A pergunta busca a aplicação direta da lei 13.019/2014 sobre o chamamento público, sem necessidade de interpretação ou conflito normativo.",Direito Administrativo,Lei nº 13.019/2014,alta,"{""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A pergunta busca a aplicação direta da lei 13.019/2014 sobre o chamamento público, sem necessidade de interpretação ou conflito normativo."",
  ""legislacao_base"": ""Lei nº 13.019/2014"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:10:08.811375-03:00
41_direito_administrativo_questao_4,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Antes da edição do decreto expropriatório, Fábio tomou conhecimento de que a União deseja desapropriar uma grande propriedade rural de sua titularidade, situada na zona rural do Município Delta, para construir um aeroporto.
Em razão disso, ele busca sua assessoria jurídica para esclarecer as dúvidas elencadas a seguir, que deverão ser respondidas à luz do ordenamento vigente

1. A fim de concretizar a intervenção do Estado na propriedade, antes do ajuizamento da respectiva ação, o Poder Público deve fazer uma oferta a Fábio? Justifique.

2. A fim de alcançar a justa indenização na situação descrita, é possível a utilização de arbitragem? Justifique.",3,"A questão exige confronto entre normas sobre expropriação e indenização, como o artigo 5º, inciso II, da Constituição Federal e o artigo 107 do Código Civil.",Direito Administrativo,"CF/88, art. 5º, II; Código Civil, art. 107",alta,"{""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""A questão exige confronto entre normas sobre expropriação e indenização, como o artigo 5º, inciso II, da Constituição Federal e o artigo 107 do Código Civil."",
  ""legislacao_base"": ""CF/88, art. 5º, II; Código Civil, art. 107"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:10:30.938090-03:00
41_direito_civil_peca_praticoprofissional,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"PEÇA PRÁTICO-PROFISSIONAL

Paulo adquiriu os direitos possessórios sobre uma casa situada na Rua XYZ, nº 99, em Goiânia, GO, por meio de adjudicação em um processo de inventário, com sentença datada de 21/01/2012, transitada em julgado. O imóvel não tem matrícula regular ou registro de propriedade, situando-se em área onde historicamente há problemas de regularização fundiária.
Na casa, Cíntia, como cuidadora, morava com José, pai de Paulo, assistindo-o durante toda a sua enfermidade. Depois da morte do pai, Paulo decidiu realizar o desejo dele, que fora manifestado oralmente antes do falecimento, ou seja, permitir que Cíntia, exclusivamente, residisse no imóvel pelo tempo que julgasse necessário, enquanto viva fosse. Assim, em 30/01/2012, poucos dias após a sentença de adjudicação, Paulo e Cíntia se encontraram para a celebração de contrato de comodato, no qual ficou ajustado que ela poderia residir no imóvel pelo tempo que quisesse.
Doze anos depois, em 10/01/2024, Paulo foi informado pelo síndico do condomínio de que Cíntia falecera de infarto fulminante no dia anterior, deixando no imóvel o seu filho João. Em 11/01/2024, Paulo notificou João para que, no prazo de 30 (trinta) dias, restituísse o bem, com a entrega das chaves na portaria.
Ocorre que João descumpriu a ordem, enviando contra-notificação, em 20/01/2024, informando que não reconhecia a posse de Paulo, porque sabe que o imóvel não tem matrícula regular ou registro de propriedade, sendo ele o verdadeiro dono do bem, por força de usucapião. O imóvel está avaliado em R$ 200.000,00 (duzentos mil reais).
Na qualidade de advogado(a) de Paulo, elabore a peça processual cabível para a defesa imediata dos interesses de seu cliente, indicando seus requisitos e fundamentos nos termos da legislação vigente. (Valor: 5,00)
Obs.: a peça deve abranger todos os fundamentos de Direito que possam ser utilizados para dar respaldo à pretensão. A simples menção ou transcrição do dispositivo legal não confere pontuação.",,,Direito Civil,,,"{""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""A questão exige confronto entre normas sobre posse, comodato e usucapião, considerando a falta de matrícula e a natureza do contrato celebrado."",
  ""legislacao_base"": ""CF/88, Art. 176; Código Civil, Arts. 1.001, 1.002, 1.003, 1.004, 1.005, 1.006, 1.007, 1.008, 1.009, 1.010, 1.011, 1.012, 1.013,",False,2026-03-22T12:10:53.158451-03:00
41_direito_civil_questao_1,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Joaquim conduzia seu automóvel por avenida movimentada do bairro de Copacabana, no Rio de Janeiro, em velocidade acima da permitida, após consumir elevada dose de bebida alcoólica. Ao tentar desviar de outro veículo, Joaquim perdeu o controle e subiu na calçada, vindo a colidir contra um poste.
Maria, que andava pela calçada, viu o momento em que Joaquim perdeu o controle de seu automóvel e, para salvar Joana, que estava ao seu lado, empurrou-a, vindo ambas a caírem em cima da vidraça de uma loja. Na queda, quebraram o vidro e danificaram alguns itens que estavam em exibição na vitrine.
Sobre o caso narrado, responda aos itens a seguir

1. Maria praticou ato ilícito ao empurrar Joana, quebrando o vidro e danificando os itens da vitrine? Justifique.

2. Maria, uma vez demandada em Juízo pelo dono da loja para ser indenizado pelos danos sofridos, poderá provocar intervenção de terceiros? Caso afirmativo, qual a modalidade e em face de quem? Justifique.",2,"A questão pede interpretação direta do artigo 1075 do Código Civil sobre ato ilícito, sem necessidade de confronto entre normas ou análise de hipóteses complexas.",Direito Civil,Código Civil - Artigo 1075,alta,"{""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A questão pede interpretação direta do artigo 1075 do Código Civil sobre ato ilícito, sem necessidade de confronto entre normas ou análise de hipóteses complexas."",
  ""legislacao_base"": ""Código Civil - Artigo 1075"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:11:05.628036-03:00
41_direito_civil_questao_2,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

O gado Nelore criado por Duarte vem sofrendo de doença desconhecida. Inocêncio, produtor rural, comprometeu-se a ajudá-lo, conseguindo que o melhor veterinário da região e também produtor rural, Matias, concordasse em visitar o rebanho de Duarte em, no máximo, três dias, em virtude da urgência da situação. Matias aceitou o compromisso, mas não compareceu em razão dos seus próprios compromissos em sua fazenda, especialmente por causa do recebimento de duas novas máquinas agrícolas. Na semana seguinte, Matias foi até a fazenda de Duarte e constatou a morte de toda a criação. Duarte, diante disso, acionou Inocêncio e Matias pleiteando indenização pelos danos sofridos.

Sobre a hipótese narrada, responda aos itens a seguir.

1. O pedido de perdas e danos em face de Inocêncio merece prosperar? Justifique.

2. Se Matias for condenado, as duas máquinas agrícolas de sua propriedade poderão ser penhoradas? Justifique.",2,"A questão envolve aplicação direta do dever de cumprir contrato de prestação de serviço, sem necessidade de interpretação ou análise de conflitos normativos.",Direito Civil,"CF/88, Art. 170, inciso II; Código Civil, Art. 569",alta,"{""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A questão envolve aplicação direta do dever de cumprir contrato de prestação de serviço, sem necessidade de interpretação ou análise de conflitos normativos."",
  ""legislacao_base"": ""CF/88, Art. 170, inciso II; Código Civil, Art. 569"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:11:28.073321-03:00
41_direito_civil_questao_3,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Iara, atriz famosa por interpretar papéis de protagonista em diversas novelas, descobre que seu nome e sua imagem vêm sendo utilizados, indevidamente e sem sua autorização, por uma clínica de estética, em publicidade anunciando seus serviços.
Na publicidade em questão, constava a foto da atriz com uma frase, entre aspas, dizendo que ela só realizava procedimentos estéticos naquela clínica, por considerá-la a melhor do ramo. Ocorre que a atriz sequer conhecia a referida clínica e não havia autorizado a utilização de sua imagem.
Com receio de perder nova oportunidade de trabalho, já em fase de negociação de exclusividade, Iara procura você, como advogado(a), buscando a proibição da utilização de sua imagem pela clínica.
Diante do caso narrado, responda aos itens a seguir

1. Pode haver a proibição da utilização da imagem da atriz? Justifique.

2. Para requerer a imediata cessação da divulgação da imagem, antes de eventual sentença de mérito, qual instrumento processual é cabível? Justifique.",2,"A questão exige aplicação direta da norma sobre uso indevido de imagem, sem necessidade de interpretação ou conflito normativo.",Direito Civil,"CF/88, Art. 5º, inciso L",alta,"{""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A questão exige aplicação direta da norma sobre uso indevido de imagem, sem necessidade de interpretação ou conflito normativo."",
  ""legislacao_base"": ""CF/88, Art. 5º, inciso L"",
  ""confianca"": ""alta""
}",True,2026-03-22T12:11:50.380421-03:00
41_direito_civil_questao_4,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Antônio, casado com Maria em regime de separação voluntária de bens, desde 2015, celebrou um contrato de seguro de vida em 2017, renovando-o anualmente. Antônio não indicou os beneficiários do seguro de vida quando da celebração do contrato, nem em suas consecutivas renovações.
Após seu falecimento, que se deu na vigência do contrato de seguro de vida, sua esposa, Maria, individualmente, e seus dois filhos de um relacionamento anterior, Caetano e Caio, conjuntamente, requereram o pagamento integral do capital estipulado no seguro. Maria alega que, na condição de cônjuge, é, por direito, a beneficiária do seguro. Já os filhos alegam que seu pai, ao optar pelo regime da separação de bens, indicou a intenção de que Maria não participasse de seu patrimônio; sendo assim, ela não poderia ser beneficiária, restando tal condição a eles, filhos.
Diante dessa situação, você, na qualidade de advogado(a) do corpo jurídico da seguradora é consultado sobre os itens a seguir

1. O argumento apresentado por Caetano e Caio é válido? Justifique e indique a quem deve ser pago o capital estipulado no contrato.

2. Diante do impasse, qual medida processual a seguradora deve adotar para efetuar o pagamento do capital segurado de forma segura? Justifique.",3,"A questão exige confronto entre a norma da separação de bens e a jurisprudência sobre herança e benefícios de seguro, envolvendo interpretação de cláusulas de contrato e direitos familiares.",Direito Civil,"CF/88, art. 1.690 do Código Civil",,"{""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""A questão exige confronto entre a norma da separação de bens e a jurisprudência sobre herança e benefícios de seguro, envolvendo interpretação de cláusulas de contrato e direitos familiares."",
  ""legislacao_base"": ""CF/88, art. 1.690 do Código Civil"",
  ""confiança"": ""alta""
}",True,2026-03-22T12:12:04.584386-03:00
