question_id,dataset,tipo_questao,modelo_curador,texto_questao,nivel_dificuldade_equipe,justificativa_dificuldade,area_especialidade_equipe,justificativa_area,dominio_juridico,legislacao_base,confianca,timestamp_execucao,saida_bruta,json_parse_ok
41_direito_administrativo_peca_praticoprofissional,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"PEÇA PRÁTICO-PROFISSIONAL

O Município Alfa publicou edital de licitação, visando à aquisição de centenas de cadeiras padronizadas para as repartições públicas municipais, mediante a divulgação e a manutenção do inteiro teor do ato convocatório e de seus anexos no Portal Nacional de Contratações Públicas (PNCP), além da publicação de extrato do edital no Diário Oficial do ente federativo e em jornal diário de grande circulação. Figura como presidente da Comissão de Licitação o agente público João da Silva, responsável por todos os atos, bem como, pelas regras editalícias, segundo as normas de convocação.
Ao tomarem ciência da publicação do edital da licitação, os sócios da sociedade empresária XYZ passaram a analisá-lo detalhadamente, visando à tomada de uma decisão informada sobre a participação ou não no referido processo licitatório.
Em síntese, o Município Alfa publicou o edital de licitação, com o objetivo de adquirir 500 (quinhentas) cadeiras padronizadas, para entrega futura, adotando-se, para tanto, o pregão como modalidade de licitação, sob o critério de julgamento do menor preço. Apurou-se ainda que, segundo o edital, as propostas e os lances deveriam ser apresentados no prazo de 5 (cinco) dias úteis, contados a partir da data de divulgação do edital de licitação. Além disso, os participantes, no momento da apresentação das propostas e dos lances, deveriam comprovar, como requisito de pré-habilitação, o recolhimento de quantia correspondente a 5% (cinco por cento) do valor estimado para a contratação, a título de garantia da proposta.
O edital previu também margem de preferência de 10% (dez por cento) para sociedades empresárias que tenham instituído programa de integridade, conforme orientações dos órgãos de controle. Na fase de habilitação, como forma de demonstrar a aptidão econômica do licitante para cumprir as obrigações decorrentes do futuro contrato, o edital previu a necessidade de que os licitantes tivessem, no ano anterior, faturado, ao menos, R$ 5.000.000 (cinco milhões de reais), com índice de rentabilidade mínima de 10% (dez por cento). Por fim, na fase de julgamento, em caso de empate entre as propostas oferecidas pelos licitantes, caberia à Administração Pública, a partir de um juízo de oportunidade e de conveniência, selecionar o vencedor.
Nesse contexto, a sociedade empresária XYZ impugnou o edital publicado na seara administrativa, com observância ao prazo legal, questionando os seguintes tópicos: i) prazo mínimo para apresentação de propostas e lances; ii) garantia de proposta, como requisito de pré-habilitação; iii) margem de preferência estabelecida; iv) forma de demonstração da aptidão econômica do licitante para cumprir as obrigações decorrentes do futuro contrato; e v) critérios de desempate. Contudo, o agente público João da Silva, autoridade administrativa competente da Administração Pública, manteve o edital na íntegra, em decisão definitiva na esfera administrativa.
Dessa forma, os sócios da sociedade empresária XYZ, dois dias depois de terem acesso à referida decisão administrativa, procuraram você para, na qualidade de advogado(a), adotar as providências cabíveis junto ao Poder Judiciário, sendo certo que há urgência na obtenção de um provimento jurisdicional, ante o receio de que a licitação prossiga, sem a participação da sociedade empresária XYZ. Considere que todas as provas necessárias já estão pré-constituídas, sendo desnecessária dilação probatória.
Diante das circunstâncias narradas, redija a peça cabível, que traga o procedimento mais célere para a defesa dos interesses da sociedade empresária XYZ, mediante a apresentação de todos os fundamentos jurídicos pertinentes, ciente de que as provas documentais já existentes bastam para demonstrar os fatos acima. (Valor: 5,00)
Obs.: a peça deve abranger todos os fundamentos de Direito que possam ser utilizados para dar respaldo à pretensão. A simples menção ou transcrição do dispositivo legal não confere pontuação.",2. Aplicação jurídica simples,"O enunciado apresenta clareza na descrição dos elementos do edital e das impugnações, permitindo uma aplicação direta das normas de licitação.",Relações Privadas,"A questão envolve disputa sobre condições de licitação, que são relações entre particulares e o poder público, configurando área de relações privadas.",Administrativo,Lei nº 8.666/93 - Lei das Licitações,alta,2026-03-19T08:11:31.549599-03:00,"{
  ""nivel_dificuldade"": ""2. Aplicação jurídica simples"",
  ""justificativa_dificuldade"": ""O enunciado apresenta clareza na descrição dos elementos do edital e das impugnações, permitindo uma aplicação direta das normas de licitação."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""A questão envolve disputa sobre condições de licitação, que são relações entre particulares e o poder público, configurando área de relações privadas."",
  ""dominio_juridico"": ""Administrativo"",
  ""legislacao_base"": ""Lei nº 8.666/93 - Lei das Licitações"",
  ""confianca"": ""alta""
}",True
41_direito_administrativo_questao_1,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Esglobênia, servidora pública federal estável, acreditava ter preenchido os respectivos requisitos do Regime Próprio de Previdência no cargo que ocupava, razão pela qual pleiteou e obteve, junto ao órgão de origem, a aposentadoria voluntária.
Ato contínuo, o processo foi encaminhado ao Tribunal de Contas da União, o qual verificou algumas inconsistências no deferimento do pedido, de modo que está tendente a negar o registro da aposentadoria, sendo certo que o processo chegou na Corte de Contas há apenas um ano.
Diante dessa situação hipotética, responda como advogado(a), fundamentadamente, aos questionamentos a seguir

1. O ato aposentadoria de Esglobênia estava perfeito, ou seja, completou o seu ciclo de formação, antes do pronunciamento da Corte de Contas? Justifique.

2. Para negar o registro da aposentadoria de Esglobênia, o Tribunal de Contas precisa observar a ampla defesa e o contraditório? Justifique.",2,"O caso envolve interpretação direta das regras de validade de aposentadoria e procedimentos administrativos, sem necessidade de análise complexa de conflitos normativos.",Relações Privadas,"O tema gira em torno de direito de aposentadoria, um tema de direito privado, embora envolva aspectos administrativos.",Administrativo,Regime Próprio de Previdência dos Servidores Públicos Federais - RPPS,alta,2026-03-19T08:12:08.496360-03:00,"{
  ""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""O caso envolve interpretação direta das regras de validade de aposentadoria e procedimentos administrativos, sem necessidade de análise complexa de conflitos normativos."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O tema gira em torno de direito de aposentadoria, um tema de direito privado, embora envolva aspectos administrativos."",
  ""dominio_juridico"": ""Administrativo"",
  ""legislacao_base"": ""Regime Próprio de Previdência dos Servidores Públicos Federais - RPPS"",
  ""confianca"": ""alta""
}",True
41_direito_administrativo_questao_2,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

A sociedade de economia mista federal XYZ entrou em contato com a sociedade empresária ABC, de notória especialização, que fornece serviço técnico especializado de publicidade e divulgação, visando à celebração de um contrato administrativo. Durante as tratativas, um dos representantes da estatal afirmou que, em razão da expertise da entidade ABC, seria possível a contratação direta, afastando-se a necessidade de licitação. Nesse contexto, o contrato administrativo foi celebrado sem o prévio processo licitatório. Passados alguns meses, o diretor-executivo da sociedade empresária ABC foi informado de que o órgão de controle externo da estatal estava analisando a regularidade da contratação, em razão de indícios de superfaturamento. Dessa forma, ele solicitou à sua equipe jurídica os devidos esclarecimentos sobre a temática.
Diante dessa situação hipotética, com base na legislação que dispõe sobre o estatuto jurídico da empresa pública e da sociedade de economia mista e de suas subsidiárias, responda aos itens a seguir

1. A contratação direta da sociedade empresária ABC pela sociedade de economia mista federal XYZ, no caso em tela, cumpriu as exigências legais? Justifique.

2. Caso o órgão de controle externo da estatal verifique superfaturamento na contratação, quem responderá pelo dano causado? Justifique.",2. Aplicação jurídica simples,"O enunciado apresenta um caso clássico de contratação direta em entidade pública, com requisitos claros para análise. A aplicação direta da lei sobre contratações administrativas é evidente.",Relações Privadas,"O caso envolve contratos entre empresas privadas e públicas, mas a natureza da contratação é regulada por normas administrativas, classificando-o como relações privadas sob regime de administração pública.",Administrativo,Lei nº 8.666/93 - Lei das Sociedades de Economia Mistas,alta,2026-03-19T08:12:45.189706-03:00,"{
  ""nivel_dificuldade"": ""2. Aplicação jurídica simples"",
  ""justificativa_dificuldade"": ""O enunciado apresenta um caso clássico de contratação direta em entidade pública, com requisitos claros para análise. A aplicação direta da lei sobre contratações administrativas é evidente."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O caso envolve contratos entre empresas privadas e públicas, mas a natureza da contratação é regulada por normas administrativas, classificando-o como relações privadas sob regime de administração pública."",
  ""dominio_juridico"": ""Administrativo"",
  ""legislacao_base"": ""Lei nº 8.666/93 - Lei das Sociedades de Economia Mistas"",
  ""confianca"": ""alta""
}",True
41_direito_administrativo_questao_3,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Determinada organização da sociedade civil tem, entre as suas principais atribuições, o desenvolvimento de projetos voltados para a alimentação saudável de crianças em idade escolar.
Após aprofundado estudo, a entidade elaborou uma proposta que acredita ser de grande interesse para o Poder Público. Assim, deseja apresentá-la, a fim de que a Administração avalie a possibilidade de realizar um chamamento público para estabelecer uma parceria com fulcro na Lei nº 13.019/2014.
Em razão disso, os representantes da mencionada organização da sociedade civil buscaram sua assessoria jurídica para dirimir as dúvidas a seguir

1. Qual é o instrumento previsto na norma em comento que viabiliza a apresentação da proposta pretendida pela mencionada organização da sociedade civil? Justifique.

2. A organização da sociedade civil ficaria impedida de participar de eventual chamamento público que venha a ser realizado a partir de sua proposta? Justifique.",2. Aplicação jurídica simples,"A pergunta busca identificar o instrumento legal previsto na Lei nº 13.019/2014, o que exige interpretação direta da norma sem necessidade de análise comparativa ou argumentação complexa.",Relações Privadas,"O tema envolve a relação entre organizações da sociedade civil e o poder público, configurando um campo de relações privadas com intervenção administrativa.",Administrativo,Lei nº 13.019/2014,alta,2026-03-19T08:13:21.118746-03:00,"{
  ""nivel_dificuldade"": ""2. Aplicação jurídica simples"",
  ""justificativa_dificuldade"": ""A pergunta busca identificar o instrumento legal previsto na Lei nº 13.019/2014, o que exige interpretação direta da norma sem necessidade de análise comparativa ou argumentação complexa."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O tema envolve a relação entre organizações da sociedade civil e o poder público, configurando um campo de relações privadas com intervenção administrativa."",
  ""dominio_juridico"": ""Administrativo"",
  ""legislacao_base"": ""Lei nº 13.019/2014"",
  ""confianca"": ""alta""
}",True
41_direito_administrativo_questao_4,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Antes da edição do decreto expropriatório, Fábio tomou conhecimento de que a União deseja desapropriar uma grande propriedade rural de sua titularidade, situada na zona rural do Município Delta, para construir um aeroporto.
Em razão disso, ele busca sua assessoria jurídica para esclarecer as dúvidas elencadas a seguir, que deverão ser respondidas à luz do ordenamento vigente

1. A fim de concretizar a intervenção do Estado na propriedade, antes do ajuizamento da respectiva ação, o Poder Público deve fazer uma oferta a Fábio? Justifique.

2. A fim de alcançar a justa indenização na situação descrita, é possível a utilização de arbitragem? Justifique.",3. Interpretação com confronto normativo,"A questão exige compreensão da obrigação de oferta pelo Estado e da possibilidade de arbitragem, exigindo confronto entre normas constitucionais e legislativas sobre expropriação e indenização.",Relações Privadas,"O tema envolve propriedade privada e intervenção estatal, típico de relações privadas com implicações administrativas.",Administrativo,"CF/88, art. 170; Lei n. 6.936/81, art. 5º",alta,2026-03-19T08:13:56.631171-03:00,"{
  ""nivel_dificuldade"": ""3. Interpretação com confronto normativo"",
  ""justificativa_dificuldade"": ""A questão exige compreensão da obrigação de oferta pelo Estado e da possibilidade de arbitragem, exigindo confronto entre normas constitucionais e legislativas sobre expropriação e indenização."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O tema envolve propriedade privada e intervenção estatal, típico de relações privadas com implicações administrativas."",
  ""dominio_juridico"": ""Administrativo"",
  ""legislacao_base"": ""CF/88, art. 170; Lei n. 6.936/81, art. 5º"",
  ""confianca"": ""alta""
}",True
41_direito_civil_peca_praticoprofissional,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"PEÇA PRÁTICO-PROFISSIONAL

Paulo adquiriu os direitos possessórios sobre uma casa situada na Rua XYZ, nº 99, em Goiânia, GO, por meio de adjudicação em um processo de inventário, com sentença datada de 21/01/2012, transitada em julgado. O imóvel não tem matrícula regular ou registro de propriedade, situando-se em área onde historicamente há problemas de regularização fundiária.
Na casa, Cíntia, como cuidadora, morava com José, pai de Paulo, assistindo-o durante toda a sua enfermidade. Depois da morte do pai, Paulo decidiu realizar o desejo dele, que fora manifestado oralmente antes do falecimento, ou seja, permitir que Cíntia, exclusivamente, residisse no imóvel pelo tempo que julgasse necessário, enquanto viva fosse. Assim, em 30/01/2012, poucos dias após a sentença de adjudicação, Paulo e Cíntia se encontraram para a celebração de contrato de comodato, no qual ficou ajustado que ela poderia residir no imóvel pelo tempo que quisesse.
Doze anos depois, em 10/01/2024, Paulo foi informado pelo síndico do condomínio de que Cíntia falecera de infarto fulminante no dia anterior, deixando no imóvel o seu filho João. Em 11/01/2024, Paulo notificou João para que, no prazo de 30 (trinta) dias, restituísse o bem, com a entrega das chaves na portaria.
Ocorre que João descumpriu a ordem, enviando contra-notificação, em 20/01/2024, informando que não reconhecia a posse de Paulo, porque sabe que o imóvel não tem matrícula regular ou registro de propriedade, sendo ele o verdadeiro dono do bem, por força de usucapião. O imóvel está avaliado em R$ 200.000,00 (duzentos mil reais).
Na qualidade de advogado(a) de Paulo, elabore a peça processual cabível para a defesa imediata dos interesses de seu cliente, indicando seus requisitos e fundamentos nos termos da legislação vigente. (Valor: 5,00)
Obs.: a peça deve abranger todos os fundamentos de Direito que possam ser utilizados para dar respaldo à pretensão. A simples menção ou transcrição do dispositivo legal não confere pontuação.",3,"Envolve interpretação entre normas sobre comodato, posse e usucapião, com conflito entre direitos de uso e legitimidade de posse.",Relações Privadas,"Problema envolve relações privadas entre particulares, com contratos e direitos de uso de bens.",Civil,Código Civil - Artigo 761,alta,2026-03-19T08:14:32.803538-03:00,"{
  ""nivel_dificuldade"": ""3"",
  ""justificativa_dificuldade"": ""Envolve interpretação entre normas sobre comodato, posse e usucapião, com conflito entre direitos de uso e legitimidade de posse."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""Problema envolve relações privadas entre particulares, com contratos e direitos de uso de bens."",
  ""dominio_juridico"": ""Civil"",
  ""legislacao_base"": ""Código Civil - Artigo 761"",
  ""confianca"": ""alta""
}",True
41_direito_civil_questao_1,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Joaquim conduzia seu automóvel por avenida movimentada do bairro de Copacabana, no Rio de Janeiro, em velocidade acima da permitida, após consumir elevada dose de bebida alcoólica. Ao tentar desviar de outro veículo, Joaquim perdeu o controle e subiu na calçada, vindo a colidir contra um poste.
Maria, que andava pela calçada, viu o momento em que Joaquim perdeu o controle de seu automóvel e, para salvar Joana, que estava ao seu lado, empurrou-a, vindo ambas a caírem em cima da vidraça de uma loja. Na queda, quebraram o vidro e danificaram alguns itens que estavam em exibição na vitrine.
Sobre o caso narrado, responda aos itens a seguir

1. Maria praticou ato ilícito ao empurrar Joana, quebrando o vidro e danificando os itens da vitrine? Justifique.

2. Maria, uma vez demandada em Juízo pelo dono da loja para ser indenizado pelos danos sofridos, poderá provocar intervenção de terceiros? Caso afirmativo, qual a modalidade e em face de quem? Justifique.",2,Situação envolve aplicação direta de normas sobre dolo e responsabilidade civil por dano causado por ato ilícito.,Relações Privadas,O caso trata de responsabilidade civil por dano decorrente de ato ilícito entre particulares.,Civil,Código Civil,alta,2026-03-19T08:15:08.641605-03:00,"{
  ""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""Situação envolve aplicação direta de normas sobre dolo e responsabilidade civil por dano causado por ato ilícito."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O caso trata de responsabilidade civil por dano decorrente de ato ilícito entre particulares."",
  ""dominio_juridico"": ""Civil"",
  ""legislacao_base"": ""Código Civil"",
  ""confianca"": ""alta""
}",True
41_direito_civil_questao_2,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

O gado Nelore criado por Duarte vem sofrendo de doença desconhecida. Inocêncio, produtor rural, comprometeu-se a ajudá-lo, conseguindo que o melhor veterinário da região e também produtor rural, Matias, concordasse em visitar o rebanho de Duarte em, no máximo, três dias, em virtude da urgência da situação. Matias aceitou o compromisso, mas não compareceu em razão dos seus próprios compromissos em sua fazenda, especialmente por causa do recebimento de duas novas máquinas agrícolas. Na semana seguinte, Matias foi até a fazenda de Duarte e constatou a morte de toda a criação. Duarte, diante disso, acionou Inocêncio e Matias pleiteando indenização pelos danos sofridos.

Sobre a hipótese narrada, responda aos itens a seguir.

1. O pedido de perdas e danos em face de Inocêncio merece prosperar? Justifique.

2. Se Matias for condenado, as duas máquinas agrícolas de sua propriedade poderão ser penhoradas? Justifique.",2. Aplicação jurídica simples,"A questão envolve claramente a responsabilidade civil por dolo ou culpa em contrato de prestação de serviço, com base na legislação vigente sobre obrigação de cumprir compromisso.",Relações Privadas,"O caso trata de obrigações entre produtores rurais, envolvendo contratos de auxílio e responsabilidade por dano.",Civil,Código Civil,alta,2026-03-19T08:15:44.860885-03:00,"{
  ""nivel_dificuldade"": ""2. Aplicação jurídica simples"",
  ""justificativa_dificuldade"": ""A questão envolve claramente a responsabilidade civil por dolo ou culpa em contrato de prestação de serviço, com base na legislação vigente sobre obrigação de cumprir compromisso."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O caso trata de obrigações entre produtores rurais, envolvendo contratos de auxílio e responsabilidade por dano."",
  ""dominio_juridico"": ""Civil"",
  ""legislacao_base"": ""Código Civil"",
  ""confianca"": ""alta""
}",True
41_direito_civil_questao_3,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Iara, atriz famosa por interpretar papéis de protagonista em diversas novelas, descobre que seu nome e sua imagem vêm sendo utilizados, indevidamente e sem sua autorização, por uma clínica de estética, em publicidade anunciando seus serviços.
Na publicidade em questão, constava a foto da atriz com uma frase, entre aspas, dizendo que ela só realizava procedimentos estéticos naquela clínica, por considerá-la a melhor do ramo. Ocorre que a atriz sequer conhecia a referida clínica e não havia autorizado a utilização de sua imagem.
Com receio de perder nova oportunidade de trabalho, já em fase de negociação de exclusividade, Iara procura você, como advogado(a), buscando a proibição da utilização de sua imagem pela clínica.
Diante do caso narrado, responda aos itens a seguir

1. Pode haver a proibição da utilização da imagem da atriz? Justifique.

2. Para requerer a imediata cessação da divulgação da imagem, antes de eventual sentença de mérito, qual instrumento processual é cabível? Justifique.",2. Aplicação jurídica simples,"O caso envolve uso indevido de imagem sem autorização, o que está diretamente previsto no Código Civil. A análise é direta e não exige interpretação complexa ou confronto normativo.",Relações Privadas,"O problema envolve direitos sobre imagem e uso de nome, que são questões típicas do campo das relações privadas.",Civil,Código Civil - Art. 576,alta,2026-03-19T08:16:20.828989-03:00,"{
  ""nivel_dificuldade"": ""2. Aplicação jurídica simples"",
  ""justificativa_dificuldade"": ""O caso envolve uso indevido de imagem sem autorização, o que está diretamente previsto no Código Civil. A análise é direta e não exige interpretação complexa ou confronto normativo."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O problema envolve direitos sobre imagem e uso de nome, que são questões típicas do campo das relações privadas."",
  ""dominio_juridico"": ""Civil"",
  ""legislacao_base"": ""Código Civil - Art. 576"",
  ""confianca"": ""alta""
}",True
41_direito_civil_questao_4,J1,discursiva,Qwen/Qwen3-4B-Instruct-2507,"QUESTÃO

Antônio, casado com Maria em regime de separação voluntária de bens, desde 2015, celebrou um contrato de seguro de vida em 2017, renovando-o anualmente. Antônio não indicou os beneficiários do seguro de vida quando da celebração do contrato, nem em suas consecutivas renovações.
Após seu falecimento, que se deu na vigência do contrato de seguro de vida, sua esposa, Maria, individualmente, e seus dois filhos de um relacionamento anterior, Caetano e Caio, conjuntamente, requereram o pagamento integral do capital estipulado no seguro. Maria alega que, na condição de cônjuge, é, por direito, a beneficiária do seguro. Já os filhos alegam que seu pai, ao optar pelo regime da separação de bens, indicou a intenção de que Maria não participasse de seu patrimônio; sendo assim, ela não poderia ser beneficiária, restando tal condição a eles, filhos.
Diante dessa situação, você, na qualidade de advogado(a) do corpo jurídico da seguradora é consultado sobre os itens a seguir

1. O argumento apresentado por Caetano e Caio é válido? Justifique e indique a quem deve ser pago o capital estipulado no contrato.

2. Diante do impasse, qual medida processual a seguradora deve adotar para efetuar o pagamento do capital segurado de forma segura? Justifique.",2,"A questão envolve interpretação direta da norma do Código Civil sobre beneficiários de seguro, mas sem conflitos complexos ou necessidade de análise comparativa entre fontes.",Relações Privadas,"O caso trata de direitos de herança e benefícios em contratos de seguro, pertencentes à área de relações privadas.",Civil,Código Civil - Art. 1.960,alta,2026-03-19T08:16:40.852113-03:00,"{
  ""nivel_dificuldade"": ""2"",
  ""justificativa_dificuldade"": ""A questão envolve interpretação direta da norma do Código Civil sobre beneficiários de seguro, mas sem conflitos complexos ou necessidade de análise comparativa entre fontes."",
  ""area_especialidade"": ""Relações Privadas"",
  ""justificativa_area"": ""O caso trata de direitos de herança e benefícios em contratos de seguro, pertencentes à área de relações privadas."",
  ""dominio_juridico"": ""Civil"",
  ""legislacao_base"": ""Código Civil - Art. 1.960"",
  ""confianca"": ""alta""
}",True
