question_id,tipo_questao,dataset,modelo,nivel_dificuldade,disciplina,tema,texto_questao,gabarito_oficial,resposta,correto,json_parse_ok,saida_bruta,timestamp_execucao
2012-08_40,OBJETIVA,J2,gemma2,medio,Direito Civil,Onerosidade excessiva e teoria da imprevisão,"Utilizando-se das regras afetas ao direito das obrigações, assinale a alternativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:34:33Z
2012-08_41,OBJETIVA,J2,gemma2,medio,Direito Civil,Contratos atípicos e vedação de pacto sucessório,"Embora sujeito às constantes mutações e às diferenças de contexto em que é aplicado, o conceito tradicional de contrato sugere que ele representa o acordo de vontades estabelecido com a finalidade de produzir efeitos jurídicos.
Tomando por base a teoria geral dos contratos, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:34:35Z
2012-08_42,OBJETIVA,J2,gemma2,medio,Direito Civil,Usucapião familiar (abandono do lar),"Em janeiro de 2010, Nádia, unida estavelmente com Rômulo, após dez anos de convivência e sem que houvesse entre eles contrato escrito que disciplinasse as relações entre companheiros, abandona definitivamente o lar. Nos dois anos seguintes, Rômulo, que não é proprietário de outro imóvel urbano ou rural, continuou, ininterruptamente, sem oposição de quem quer que fosse, na posse direta e exclusiva do imóvel urbano com 200 metros quadrados, cuja propriedade dividia com Nádia e que servia de moradia do casal. Em março de 2012, Rômulo – que nunca havia ajuizado ação de usucapião, de qualquer espécie, contra quem quer que fosse - ingressou com ação de usucapião, pretendendo o reconhecimento judicial para adquirir integralmente o domínio do referido imóvel.
Diante dessa situação hipotética, assinale a afirmativa correta.",D,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:34:37Z
2012-08_43,OBJETIVA,J2,gemma2,medio,Direito Civil,Tutela de menor e alienação de bens do incapaz,"Eduardo e Mônica, casados, tinham um filho menor chamado Renato. Por orientação de um advogado, Eduardo e Mônica, em 2005, fizeram os respectivos testamentos e nomearam Lúcio, irmão mais velho de Eduardo, como tutor do menor para o caso de alguma eventualidade. Pouco antes da nomeação por testamento, Lúcio fora definitivamente condenado pelo crime de dano (art. 163 do Código Penal), mas o casal manteve a nomeação, acreditando no arrependimento de Lúcio, que, desde então, mostrou conduta socialmente adequada.
Em 2010, Eduardo e Mônica morreram em um acidente aéreo. Dois anos depois do acidente, pretendendo salvaguardar os interesses do menor colocado sob sua tutela, Lúcio, prevendo manifesta vantagem negocial em virtude do aumento dos preços dos imóveis, decide alienar a terceiros um dos bens imóveis do patrimônio de Renato, depositando, imediatamente, todo o dinheiro obtido na negociação em uma conta de poupança, aberta em nome do menor.
Diante do caso narrado, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:34:39Z
2012-08_44,OBJETIVA,J2,gemma2,facil,Direito da Criança e do Adolescente,Hospedagem de crianças e adolescentes,"João e Maria, ambos adolescentes, com dezessete e dezesseis anos, respectivamente, resolvem realizar uma viagem para comemorar o aniversário de um ano de namoro. Como destino, o jovem casal elege Armação dos Búzios, no estado do Rio de Janeiro, e efetua a reserva, por telefone, em uma pousada do balneário.
Considerando a normativa acerca da prevenção especial contida na Lei n. 8.069, de 13 de julho de 1990, assinale a afirmativa correta.",D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:34:41Z
2012-08_45,OBJETIVA,J2,gemma2,facil,Direito da Criança e do Adolescente,Atribuições do Conselho Tutelar,"Acerca das atribuições do Conselho Tutelar determinadas no Estatuto da Criança e do Adolescente, assinale a alternativa correta.",A,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:34:44Z
2012-08_46,OBJETIVA,J2,gemma2,medio,Direito do Consumidor,Cláusulas Abusivas e Legitimidade Institucional,"João celebrou contrato de seguro de vida e invalidez, aderindo a plano oferecido por conhecida rede particular. O contrato de adesão, válido por cinco anos, prevê a possibilidade de cancelamento, em favor da seguradora, antes de ocorrer o sinistro, por alegação de desequilíbrio econômico-financeiro.
A esse respeito, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:34:46Z
2012-08_47,OBJETIVA,J2,gemma2,medio,Direito do Consumidor,Defeito do produto e violação da segurança do consumidor,"Determinado consumidor, ao mastigar uma fatia de pão com geleia, encontrou um elemento rígido, o que lhe causou intenso desconforto e a quebra parcial de um dos dentes. Em razão do fato, ingressou com medida judicial em face do mercado que vendeu a geleia, a fim de ser reparado. No curso do processo, a perícia constatou que o elemento encontrado era uma pequena porção de açúcar cristalizado, não oferecendo risco à saúde do autor.
Diante desta narrativa, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:34:48Z
2012-08_48,OBJETIVA,J2,gemma2,Média,Direito Empresarial,Cheque,"Com relação ao instituto do cheque, assinale a afirmativa correta.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:34:50Z
2012-08_49,OBJETIVA,J2,gemma2,facil,Direito Empresarial,Sociedade em Conta de Participação,"A respeito do sócio ostensivo da sociedade em conta de participação, assinale a afirmativa correta.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:34:52Z
