ID da Questão,Tipo Questão,Dataset,Prompt System,texto_questao,alternativas,gabarito_oficial,nivel_dificuldade,disciplina,tema,peso_questao,Número Questão Sequencial,Número Questão Exame,ID Exame,Ano Exame
2012-08_40,OBJETIVA,J2,,"Utilizando-se das regras afetas ao direito das obrigações, assinale a alternativa correta.","{""D"": ""O terceiro, interessado ou n\u00e3o, poder\u00e1 efetuar o pagamento da d\u00edvida em seu pr\u00f3prio nome, ficando sempre sub-rogado nos direitos da parte credora."", ""C"": ""Possui a quita\u00e7\u00e3o determinados requisitos que devem ser obrigatoriamente observados, tais como o valor da d\u00edvida, o nome do pagador, o tempo e o lugar do adimplemento, al\u00e9m da assinatura da parte credora, exigindo-se tamb\u00e9m que a forma da quita\u00e7\u00e3o seja igual \u00e0 forma do contrato."", ""B"": ""Levando em considera\u00e7\u00e3o os elementos contidos na lei para o reconhecimento da onerosidade excessiva, \u00e9 admiss\u00edvel assegurar que a regra se aplica \u00e0s rela\u00e7\u00f5es obrigacionais de execu\u00e7\u00e3o diferida ou continuada."", ""A"": ""Quando o pagamento de boa-f\u00e9 for efetuado ao credor putativo, somente ser\u00e1 inv\u00e1lido se, em seguida, ficar demonstrado que n\u00e3o era credor.""}",B,medio,Direito Civil,Onerosidade excessiva e teoria da imprevisão,1.0,739,40,2012-08,2012
2012-08_41,OBJETIVA,J2,,"Embora sujeito às constantes mutações e às diferenças de contexto em que é aplicado, o conceito tradicional de contrato sugere que ele representa o acordo de vontades estabelecido com a finalidade de produzir efeitos jurídicos.
Tomando por base a teoria geral dos contratos, assinale a afirmativa correta.","{""D"": ""Ser\u00e1 obrigatoriamente declarado nulo o contrato de ades\u00e3o que contiver cl\u00e1usulas amb\u00edguas ou contradit\u00f3rias."", ""C"": ""A liberdade de contratar \u00e9 limitada pela fun\u00e7\u00e3o social do contrato e os contratantes dever\u00e3o guardar, assim na conclus\u00e3o, como em sua execu\u00e7\u00e3o, os princ\u00edpios da probidade e da boa-f\u00e9 subjetiva, princ\u00edpios esses ligados ao voluntarismo e ao individualismo que informam o nosso C\u00f3digo Civil."", ""B"": ""A atipicidade contratual \u00e9 poss\u00edvel, mas, de outro lado, h\u00e1 regra espec\u00edfica prevendo n\u00e3o ser l\u00edcita a contrata\u00e7\u00e3o que tenha por objeto a heran\u00e7a de pessoa viva, seja por meio de contrato t\u00edpico ou n\u00e3o."", ""A"": ""A celebra\u00e7\u00e3o de contrato at\u00edpico, fora do rol contido na legisla\u00e7\u00e3o, n\u00e3o \u00e9 l\u00edcita, pois as partes n\u00e3o disp\u00f5em da liberdade de celebrar neg\u00f3cios n\u00e3o expressamente regulamentados por lei.""}",B,medio,Direito Civil,Contratos atípicos e vedação de pacto sucessório,1.0,740,41,2012-08,2012
2012-08_42,OBJETIVA,J2,,"Em janeiro de 2010, Nádia, unida estavelmente com Rômulo, após dez anos de convivência e sem que houvesse entre eles contrato escrito que disciplinasse as relações entre companheiros, abandona definitivamente o lar. Nos dois anos seguintes, Rômulo, que não é proprietário de outro imóvel urbano ou rural, continuou, ininterruptamente, sem oposição de quem quer que fosse, na posse direta e exclusiva do imóvel urbano com 200 metros quadrados, cuja propriedade dividia com Nádia e que servia de moradia do casal. Em março de 2012, Rômulo – que nunca havia ajuizado ação de usucapião, de qualquer espécie, contra quem quer que fosse - ingressou com ação de usucapião, pretendendo o reconhecimento judicial para adquirir integralmente o domínio do referido imóvel.
Diante dessa situação hipotética, assinale a afirmativa correta.","{""D"": ""A pretens\u00e3o de aquisi\u00e7\u00e3o do dom\u00ednio integral do im\u00f3vel por R\u00f4mulo preenche todos os requisitos previstos no C\u00f3digo Civil."", ""C"": ""A pretens\u00e3o de aquisi\u00e7\u00e3o do dom\u00ednio integral do im\u00f3vel por R\u00f4mulo \u00e9 infundada, pois tal direito s\u00f3 existe para as situa\u00e7\u00f5es em que as pessoas foram casadas sob o regime da comunh\u00e3o universal de bens."", ""B"": ""A pretens\u00e3o de aquisi\u00e7\u00e3o do dom\u00ednio integral do im\u00f3vel por R\u00f4mulo \u00e9 infundada, pois a hip\u00f3tese de abandono do lar, embora possa caracterizar a impossibilidade da comunh\u00e3o de vida, n\u00e3o autoriza a propositura de a\u00e7\u00e3o de usucapi\u00e3o."", ""A"": ""A pretens\u00e3o de aquisi\u00e7\u00e3o do dom\u00ednio integral do im\u00f3vel por R\u00f4mulo \u00e9 infundada, pois o prazo assinalado pelo C\u00f3digo Civil \u00e9 de 10 (dez) anos.""}",D,medio,Direito Civil,Usucapião familiar (abandono do lar),1.0,741,42,2012-08,2012
2012-08_43,OBJETIVA,J2,,"Eduardo e Mônica, casados, tinham um filho menor chamado Renato. Por orientação de um advogado, Eduardo e Mônica, em 2005, fizeram os respectivos testamentos e nomearam Lúcio, irmão mais velho de Eduardo, como tutor do menor para o caso de alguma eventualidade. Pouco antes da nomeação por testamento, Lúcio fora definitivamente condenado pelo crime de dano (art. 163 do Código Penal), mas o casal manteve a nomeação, acreditando no arrependimento de Lúcio, que, desde então, mostrou conduta socialmente adequada.
Em 2010, Eduardo e Mônica morreram em um acidente aéreo. Dois anos depois do acidente, pretendendo salvaguardar os interesses do menor colocado sob sua tutela, Lúcio, prevendo manifesta vantagem negocial em virtude do aumento dos preços dos imóveis, decide alienar a terceiros um dos bens imóveis do patrimônio de Renato, depositando, imediatamente, todo o dinheiro obtido na negociação em uma conta de poupança, aberta em nome do menor.
Diante do caso narrado, assinale a afirmativa correta.","{""D"": ""A nomea\u00e7\u00e3o de L\u00facio \u00e9 inv\u00e1lida em raz\u00e3o de ter sido condenado criminalmente, mas a aliena\u00e7\u00e3o do im\u00f3vel \u00e9 l\u00edcita, pois somente bens m\u00f3veis de alto valor necessitam de pr\u00e9via avalia\u00e7\u00e3o e autoriza\u00e7\u00e3o judicial."", ""C"": ""A nomea\u00e7\u00e3o de L\u00facio como tutor \u00e9 v\u00e1lida, apesar da condena\u00e7\u00e3o criminal, mas a aliena\u00e7\u00e3o do im\u00f3vel, sem pr\u00e9via avalia\u00e7\u00e3o e autoriza\u00e7\u00e3o judicial, \u00e9 il\u00edcita."", ""B"": ""A nomea\u00e7\u00e3o de L\u00facio como tutor \u00e9 v\u00e1lida, apesar da condena\u00e7\u00e3o criminal, e a aliena\u00e7\u00e3o do im\u00f3vel \u00e9 l\u00edcita, pois atende ao princ\u00edpio do melhor interesse do menor."", ""A"": ""A nomea\u00e7\u00e3o de L\u00facio como tutor \u00e9 inv\u00e1lida em raz\u00e3o de ter sido condenado criminalmente, independentemente do cumprimento da pena, mas a aliena\u00e7\u00e3o do im\u00f3vel \u00e9 l\u00edcita, pois atende ao princ\u00edpio do melhor interesse do menor.""}",C,medio,Direito Civil,Tutela de menor e alienação de bens do incapaz,1.0,742,43,2012-08,2012
2012-08_44,OBJETIVA,J2,,"João e Maria, ambos adolescentes, com dezessete e dezesseis anos, respectivamente, resolvem realizar uma viagem para comemorar o aniversário de um ano de namoro. Como destino, o jovem casal elege Armação dos Búzios, no estado do Rio de Janeiro, e efetua a reserva, por telefone, em uma pousada do balneário.
Considerando a normativa acerca da prevenção especial contida na Lei n. 8.069, de 13 de julho de 1990, assinale a afirmativa correta.","{""D"": ""O titular da pousada, ou um de seus prepostos, pode, legitimamente e fundado na legisla\u00e7\u00e3o especial que tutela a crian\u00e7a e o adolescente, negar-se a promover a hospedagem do jovem casal, j\u00e1 que ambos est\u00e3o desacompanhados dos pais ou respons\u00e1vel e desprovidos, igualmente, da autoriza\u00e7\u00e3o espec\u00edfica exigida pelo ECA."", ""C"": ""A proibi\u00e7\u00e3o da legisla\u00e7\u00e3o especial refere-se apenas \u00e0s crian\u00e7as, na defini\u00e7\u00e3o do ECA consideradas como as pessoas de at\u00e9 doze anos de idade incompletos, sendo, portanto, dispens\u00e1vel que os adolescentes estejam acompanhados dos pais ou respons\u00e1veis, ou, ainda, autorizados por estes para a regular hospedagem."", ""B"": ""O Estatuto da Crian\u00e7a e do Adolescente pro\u00edbe apenas a hospedagem de crian\u00e7as e adolescentes em motel, desacompanhadas de seus pais ou respons\u00e1vel, sendo permitida a hospedagem em hot\u00e9is ou estabelecimentos cong\u00eaneres, uma vez que estes s\u00e3o obrigados a manter regularmente o registro de entrada de seus h\u00f3spedes."", ""A"": ""O casal poder\u00e1 hospedar-se na pousada reservada sem quaisquer restri\u00e7\u00f5es, j\u00e1 que ambos s\u00e3o maiores de dezesseis anos e, portanto, relativamente capazes para a pr\u00e1tica desse tipo de ato civil, n\u00e3o podendo ser exigido que estejam acompanhados dos pais ou respons\u00e1veis nem que apresentem autoriza\u00e7\u00e3o destes.""}",D,facil,Direito da Criança e do Adolescente,Hospedagem de crianças e adolescentes,1.0,743,44,2012-08,2012
2012-08_45,OBJETIVA,J2,,"Acerca das atribuições do Conselho Tutelar determinadas no Estatuto da Criança e do Adolescente, assinale a alternativa correta.","{""D"": ""O Conselho Tutelar n\u00e3o poder\u00e1 promover a execu\u00e7\u00e3o de suas decis\u00f5es, raz\u00e3o pela qual s\u00f3 lhe resta encaminhar ao Minist\u00e9rio P\u00fablico not\u00edcia de fato que constitua infra\u00e7\u00e3o administrativa ou penal contra os direitos da crian\u00e7a ou adolescente."", ""C"": ""O Conselho Tutelar pode assessorar o Poder Executivo local na elabora\u00e7\u00e3o da proposta or\u00e7ament\u00e1ria para planos e programas de atendimento dos direitos da crian\u00e7a e do adolescente, em decorr\u00eancia de sua natureza jurisdicional n\u00e3o aut\u00f4noma."", ""B"": ""O Conselho Tutelar, em consequ\u00eancia de sua natureza n\u00e3o jurisdicional, n\u00e3o \u00e9 competente para encaminhar ao Minist\u00e9rio P\u00fablico as ocorr\u00eancias administrativas ou criminais que importem viola\u00e7\u00e3o aos direitos da crian\u00e7a e do adolescente."", ""A"": ""O Conselho Tutelar, considerando sua natureza n\u00e3o jurisdicional, destaca-se no aconselhamento e na orienta\u00e7\u00e3o \u00e0 fam\u00edlia ou respons\u00e1vel pela crian\u00e7a ou adolescente, inclusive na hip\u00f3tese de inclus\u00e3o em programa oficial ou comunit\u00e1rio de auxilio, orienta\u00e7\u00e3o e tratamento a alco\u00f3latras e toxic\u00f4manos.""}",A,facil,Direito da Criança e do Adolescente,Atribuições do Conselho Tutelar,1.0,744,45,2012-08,2012
2012-08_46,OBJETIVA,J2,,"João celebrou contrato de seguro de vida e invalidez, aderindo a plano oferecido por conhecida rede particular. O contrato de adesão, válido por cinco anos, prevê a possibilidade de cancelamento, em favor da seguradora, antes de ocorrer o sinistro, por alegação de desequilíbrio econômico-financeiro.
A esse respeito, assinale a afirmativa correta.","{""D"": ""A cl\u00e1usula prevista no contrato celebrado por Jo\u00e3o n\u00e3o \u00e9 abusiva, pois o seguro deve atentar para a equa\u00e7\u00e3o financeira atuarial, necess\u00e1ria ao equil\u00edbrio econ\u00f4mico da aven\u00e7a e \u00e0 pr\u00f3pria higidez e continuidade do contrato."", ""C"": ""O Minist\u00e9rio P\u00fablico tem legitimidade para ajuizar demanda contra a seguradora, buscando ser declarada a nulidade da cl\u00e1usula contratual celebrada com os consumidores, e que seja proibido \u00e0 seguradora continuar a ofert\u00e1-la no mercado de consumo."", ""B"": ""A cl\u00e1usula prevista, que estipula a possibilidade de cancelamento unilateral do contrato em caso de desequil\u00edbrio econ\u00f4mico, seria vi\u00e1vel desde que exercida na primeira metade do contrato."", ""A"": ""Os contratos de seguro ofertados no mercado de consumo, apesar de serem de ades\u00e3o, s\u00e3o regidos pelo C\u00f3digo Civil, e a eles se aplica o C\u00f3digo de Defesa do Consumidor apenas subsidiariamente e em casos estritos.""}",C,medio,Direito do Consumidor,Cláusulas Abusivas e Legitimidade Institucional,1.0,745,46,2012-08,2012
2012-08_47,OBJETIVA,J2,,"Determinado consumidor, ao mastigar uma fatia de pão com geleia, encontrou um elemento rígido, o que lhe causou intenso desconforto e a quebra parcial de um dos dentes. Em razão do fato, ingressou com medida judicial em face do mercado que vendeu a geleia, a fim de ser reparado. No curso do processo, a perícia constatou que o elemento encontrado era uma pequena porção de açúcar cristalizado, não oferecendo risco à saúde do autor.
Diante desta narrativa, assinale a afirmativa correta.","{""D"": ""O comerciante n\u00e3o deve ser condenado e sequer caberia qualquer medida contra o fabricante, posto que n\u00e3o h\u00e1 fato ou v\u00edcio do produto, motivo pelo qual n\u00e3o deve ser responsabilizado pelo alegado defeito."", ""C"": ""A responsabilidade do fornecedor depende de apura\u00e7\u00e3o de culpa e, portanto, n\u00e3o tendo o comerciante agido de modo a causar voluntariamente o evento, n\u00e3o deve responder pelo resultado."", ""B"": ""O elemento r\u00edgido n\u00e3o caracter\u00edstico do produto, ainda que n\u00e3o o tornasse impr\u00f3prio para o consumo, violou padr\u00f5es de seguran\u00e7a, j\u00e1 que houve dano comprovado pelo consumidor."", ""A"": ""O fabricante e o fornecedor do servi\u00e7o devem ser exclu\u00eddos de responsabilidade, visto que o material n\u00e3o ofereceu qualquer risco \u00e0 integridade f\u00edsica do consumidor, n\u00e3o merecendo repara\u00e7\u00e3o.""}",B,medio,Direito do Consumidor,Defeito do produto e violação da segurança do consumidor,1.0,746,47,2012-08,2012
2012-08_48,OBJETIVA,J2,,"Com relação ao instituto do cheque, assinale a afirmativa correta.","{""D"": ""A a\u00e7\u00e3o de execu\u00e7\u00e3o do cheque contra o sacador prescreve em 1 (um) ano contado do prazo final para sua apresenta\u00e7\u00e3o."", ""C"": ""O cheque pode consubstanciar ordem de pagamento \u00e0 vista ou a prazo."", ""B"": ""O portador n\u00e3o pode recusar o pagamento parcial do cheque."", ""A"": ""O cheque pode ser sacado contra pessoa jur\u00eddica, institui\u00e7\u00f5es financeiras e institui\u00e7\u00f5es equiparadas.""}",B,Média,Direito Empresarial,Cheque,1.0,747,48,2012-08,2012
2012-08_49,OBJETIVA,J2,,"A respeito do sócio ostensivo da sociedade em conta de participação, assinale a afirmativa correta.","{""D"": ""\u00c9 o \u00fanico s\u00f3cio ostensivo da sociedade,vedada a pluralidade de s\u00f3cios dessa natureza."", ""C"": ""\u00c9 o novo s\u00f3cio admitido, mesmo que sem o consentimento dos demais, quando a sociedade necessitar de um aporte de capital."", ""B"": ""\u00c9 o \u00fanico respons\u00e1vel pela atividade constitutiva do objeto social."", ""A"": ""\u00c9 tamb\u00e9m chamado de s\u00f3cio oculto.""}",B,facil,Direito Empresarial,Sociedade em Conta de Participação,1.0,748,49,2012-08,2012
